author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
tntim111,UCS6EBDifAxU0vu2UDw4a-JA,,💙💙MORGZ💙💙,629,10:29,1598724762190674,629034
Panayiotis Antoniou,UCQ9PpNGD3u6PFuf_2VaBzlQ,,💚💚💚Dream💚💚💚,629,10:29,1598724762244930,629088
Dan and Nate,UCECKwBWwQ7okBosBI6pZMKw,,Dream,629,10:29,1598724762395561,629239
Michelle's weird world,UCRMXD8t9FtuRRpMIYlqY9rA,,YAA GOOOO DREAM💚💚,629,10:29,1598724762461783,629305
SkiesOfMagic,UCSQA2yrbWf3eqoT58zR7t4w,,DREAMMMMMMMM YESSSSSS,629,10:29,1598724762466467,629310
Seabass ;v;,UCkyKPapeWUfT3hAsAHYSP1A,,simps,629,10:29,1598724762703468,629547
Wirvy,UC6sUV5lmjkTf4tk8iGL33OA,,❤️techno support ❤️,629,10:29,1598724762772282,629616
Stanley Darko Boateng,UC9aoLdX0eHS_8yIv2oZHoSQ,,dream💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,629,10:29,1598724762808211,629651
Cheese,UCIZGqdfDBIOKPuXwdyGtNMA,,dtop talking,629,10:29,1598724765133247,629702
Sphantom TV,UCf9vks1PftmbpX4CaliYPwQ,,💚💚💚💚💚💚💚💚💚💚,629,10:29,1598724765344030,629913
emeadow _,UC0wf5e8rjpHQQIn1vXrWK2w,,💚💚💚💚,630,10:30,1598724765757628,630326
Dhyan _____yeet______,UCR1C-jJQMX8b4ufVmWSy4ng,,TECHNODREAM,630,10:30,1598724765761026,630330
Sky Cat,UCNk-lNviGIQBI13AsndIt1A,,❤️Techno Support ❤️,630,10:30,1598724765773442,630342
Max Is Schnauzy,UCYI1-0jH7tcGSQpGzH-tl8g,,Dream,630,10:30,1598724765776922,630346
Dmitry676,UCtwlPjDjH2NBl5UL5T_lzjA,,​❤TECHNOSUPPORT❤,630,10:30,1598724765938830,630507
Big brain Ben,UCE5Q4RXz4G0Ly4da6_cx7jw,,💚💚,630,10:30,1598724765944923,630514
B͞l̸𖤛T͜͡ չ,UCkvrj-CCU_Q9p8mVLpbiTYg,,Duck team,630,10:30,1598724766076780,630645
Flameuric,UCWPy7BV1XK_Eb78rHlCN7zw,,COME ON DREAM LETS GET IT,630,10:30,1598724766305558,630874
Yetosky,UCX6FzHUotF0NCTC-v2TEk_A,,DREAMMMMMMMM,630,10:30,1598724766349008,630918
ßßß,UCLOux6PvHUXhBZIn6kK_JzQ,,TECHNOSUPPORT,630,10:30,1598724766353735,630922
Keaton Pollard,UC_vZAYTnPwg6hKd-rBIQ2Xg,,e,631,10:31,1598724766478008,631047
GAISH,UCBJPffpIs8M5NpW4w6_cGhQ,,:socialdist:,631,10:31,1598724766647984,631217
**Alex plays**,UCSp8Kgt3_OzmxNLOsBZ5G6A,,TECHNOSUPPORT,631,10:31,1598724766928184,631497
Your mom Is taken,UC656QSPn4MfO8yzSxUubsow,,F,631,10:31,1598724767010146,631579
Justa fRg,UCChG8ouNSV9ChfwXXc1EXLQ,,​​♥️TECHNOSUPPORT♥️,631,10:31,1598724767016569,631585
graeme poortier,UCDh_-n7BAQQrrjQYncdXyjA,,❤TechnoSupport❤,631,10:31,1598724767082597,631651
AWES0MEGUY jr,UCxj_WAyrjimnP5DuQdoRb9g,,Let’s go DREAM,631,10:31,1598724767364053,631933
Yoinkis,UCB_NyAxITMttOPIJwC8OUog,,drean clutch this,632,10:32,1598724767585195,632154
Cofu,UCp93CI2jyWUJYg_g0k9VzMA,,DREAM,632,10:32,1598724767679744,632248
emrsn,UCvQ90YPVI-QzxXn3Ii9iV1A,,TECHNO,632,10:32,1598724767934582,632503
Mattツ,UC2o1AJbd8-ZQ9jVc0oI5vFQ,,💚DREAM💚,632,10:32,1598724768075332,632644
Crossed Salt,UCosA5NY52T9wmzOkhIaYBkA,,💚DREAM SUPPORT💚,632,10:32,1598724768223061,632792
Rain oofy,UC7iAAHt2sL8UyzqUYTcaj-g,,DREAMDREAMDREAMDREAMDREAMDREA,633,10:33,1598724768514895,633084
jake gage,UC2EBY1VmNnk63wVVJLv639Q,,e,633,10:33,1598724768559142,633128
