timestamp,author,time_in_seconds,message,time_text,badges,video_offset_time_msec,author_id
1597882633812005,PHILMSTOCK,12861,What rhymes with Rogue?,3:34:21,New member,12861135,UCrPaTQO2eqJDrwvdrGetfsQ
1597882635178585,Elloboadj,12862,saint,3:34:22,New member,12862514,UCzIZ8cGTSMsL3f1LAg7FvAA
1597882635226417,Mason Williams,12862,GET HIM OUT,3:34:22,New member,12862562,UCc_m5-YuTfC4PtQqVoHeDTA
1597882637393989,marshallbenn33,12864,eft lets goooo,3:34:24,New member,12864739,UCwkCMmIbUZ2AL1-K62HfSqg
1597882638548875,BrokeProphet,12865,Need a new team,3:34:25,New member,12865894,UCiv8r8-z76ubhzAs_A4LV_A
1597882691821217,Akshay,1597882691,stream down for you guys as well?,"443,856:18:11",New member,1597882691821,UCdPQUPv5dpVo5-4GRSGpbZQ
1597882692014100,Chris Lenga,1597882692,F,"443,856:18:12",New member,1597882692014,UCvJWTzux3T6-nQXa8jRwDGQ
1597882692496728,Ewan,1597882692,Dallasssssssss,"443,856:18:12",New member,1597882692496,UCwBMIgDbKytz52ECUPPG-Zg
1597882692626248,Hipsterghost,1597882692,@DrDisRespect FROZEN,"443,856:18:12",New member,1597882692626,UC8irFSYadMGT5Dv9ageK1Gw
1597882692704697,Kunzopolis,1597882692,F,"443,856:18:12",New member,1597882692704,UCv1pAW4mcv2_6aOd8yk6J0w
1597882692716098,Chris Lenga,1597882692,F,"443,856:18:12",New member,1597882692716,UCvJWTzux3T6-nQXa8jRwDGQ
1597882692720866,Lord Thrashington,1597882692,F,"443,856:18:12",New member,1597882692720,UCSolaq7x3QIdoyiYqiPzYYQ
1597882692839632,Andrew Gendron,1597882692,F,"443,856:18:12",New member,1597882692839,UCOLGUyXV4OpnKDYNELVeeuA
1597882693227255,John Smith,1597882693,Let’s gooo f the team you done better then 4v1,"443,856:18:13",New member,1597882693227,UCo__EHIlONG7NX4eF2woTAg
1597882693386647,Chris Lenga,1597882693,F,"443,856:18:13",New member,1597882693386,UCvJWTzux3T6-nQXa8jRwDGQ
