amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,Coinscroll8550,UC5Z-Mitx6p6NWmic2ZfTfNQ,,,,APPLES AM I RIGHT CHAT,,149,2:29,1597517070426255,149098
,stuzu,UCJENOK-jmOb28Ho1RE7cz_Q,,,,Late,,149,2:29,1597517070544809,149217
,Darkdeath Squad,UCFMd5kyDgR7OjzSFKoIeeDA,,,,Late,,149,2:29,1597517070669830,149342
,Yeah lol,UCjwGNKrauMeEyX6qUxDRYDw,,,,Late,,149,2:29,1597517070908609,149581
$4.99,TedTheHead,UCqFRP_oJ-CMQrWs5F7kYK4g,,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",Who let this happen,,149,2:29,1597517070972260,149644
$4.99,TedTheHead,UCqFRP_oJ-CMQrWs5F7kYK4g,,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",Who let this happen,120,149,2:29,1597517070972260,149644
,Danilo Mitrović grupa B,UCUo4frrsdhG5D_1gJtXP0Qw,,,,late,,149,2:29,1597517071182980,149855
,Novaidi,UCLwyvgyj1foW4QvQKuC54eg,,,,late,,150,2:30,1597517071444690,150117
,TheEventsOf1989,UCOrVcyIxnaZ9W6EcFeGlP9w,,,,late,,150,2:30,1597517071638304,150291
NZ$169.99,Eliza -Bluewolf-,UCeUCc1y-Wnua1sggAX4qsNg,,"{'rgba': [230, 33, 23, 255], 'hex': '#e62117ff'}","{'rgba': [208, 0, 0, 255], 'hex': '#d00000ff'}",❤️ Techno Support! ❤️,,150,2:30,1597517071698078,150351
NZ$169.99,Eliza -Bluewolf-,UCeUCc1y-Wnua1sggAX4qsNg,,"{'rgba': [230, 33, 23, 255], 'hex': '#e62117ff'}","{'rgba': [208, 0, 0, 255], 'hex': '#d00000ff'}",❤️ Techno Support! ❤️,3600,150,2:30,1597517071698078,150351
,Matthew Walters,UCp92ca531NHaqZZ6gJ-XWoQ,,,,Late,,150,2:30,1597517071861405,150514
,Jdebitjr,UC1gh0HJvsRKBOnEfNK6UcWw,,,,LaTe,,150,2:30,1597517071984676,150637
,Teleoxo,UCBJ2tEZf3RcH_GazE_4wtPw,,,,LATE,,150,2:30,1597517072180351,150833
,chimpy,UCiFXmhxHj_JG0u-_hWuNt_w,,,,Late,,150,2:30,1597517072223613,150876
,styx,UC6L4R7443NnC6oD83D4JhIg,,,,late,,150,2:30,1597517072261070,150914
,Buggly Biff,UCSLxH3qMwwkUiVzIx0p7bbA,,,,Only unlocked 1/4 of the stream,,150,2:30,1597517072272498,150925
,Haroon Shah,UCYY4zyZ7Yr4F9gXHj9wgrZg,,,,Early,,151,2:31,1597517072517574,151170
,Puzles al Cubo,UC3ka5lzl6ALXyMhncy_mvSg,,,,❤TECHNO SUPPORT❤,,151,2:31,1597517072609197,151262
,typxcally,UCTcnEPwGYA4qcHEbuDx2tAg,,,,LULW,,151,2:31,1597517072717315,151370
,ablazedashe,UCZ1qerEscPwbaYg-5j4XLLg,,,,really techno smh my head,,151,2:31,1597517072798876,151451
,Raen Craft,UCTedYgJtoeQX36h52RSLIQQ,,,,late,,151,2:31,1597517072828406,151481
,Joe Brigham,UCH5o5Qkc95ibesyuo3LP6Cg,,,,EARLY,,151,2:31,1597517072902670,151555
,Lance On Caffeine,UC9q1bK5ro4Vrce2fzLjr-IQ,,,,late,,151,2:31,1597517073087622,151740
,Daniel Botts,UC-0ZT9840PrKOX497YBWh8w,,,,Techno is LATEEEE,,151,2:31,1597517073125314,151778
,Poxtorz,UCQ7E8UBR8TSuCRIhPr2V08g,,,,POGGGG,,152,2:32,1597517073718903,152391
,RagePlayz,UCTN6v2DSnhBGEUBts8wxTdA,,,,small,,152,2:32,1597517073975528,152648
,Bill Mill,UCPf1Hu3kemQzCO-LtoGmf6Q,,,,LETS GOOOOOO,,152,2:32,1597517074053002,152725
